"UnionTerritories","Year","Quarter","Brands","User_Count","User_Percentage"
"andaman-&-nicobar-islands","2019","4","OnePlus","1124","4.32974"
"andaman-&-nicobar-islands","2019","4","Huawei","798","3.07396"
"andaman-&-nicobar-islands","2019","4","Motorola","682","2.62712"
"andaman-&-nicobar-islands","2019","4","Apple","678","2.61171"
"andaman-&-nicobar-islands","2019","4","Lenovo","488","1.87982"
"andaman-&-nicobar-islands","2019","4","Others","2183","8.40909"
"andaman-&-nicobar-islands","2020","1","Xiaomi","6803","23.9812"
"andaman-&-nicobar-islands","2020","1","Vivo","5880","20.7276"
"andaman-&-nicobar-islands","2020","1","Samsung","5335","18.8064"
"andaman-&-nicobar-islands","2020","1","Oppo","2557","9.01368"
"andaman-&-nicobar-islands","2020","1","Realme","1511","5.32642"
"andaman-&-nicobar-islands","2020","1","OnePlus","1184","4.17372"
"andaman-&-nicobar-islands","2020","1","Huawei","891","3.14086"
"andaman-&-nicobar-islands","2020","1","Apple","735","2.59095"
"andaman-&-nicobar-islands","2020","1","Motorola","715","2.52045"
"andaman-&-nicobar-islands","2020","1","Lenovo","500","1.76255"
"andaman-&-nicobar-islands","2020","1","Others","2257","7.95615"
"andaman-&-nicobar-islands","2020","2","Xiaomi","7805","23.8612"
"andaman-&-nicobar-islands","2020","2","Vivo","7122","21.7732"
"andaman-&-nicobar-islands","2020","2","Samsung","6030","18.4347"
"andaman-&-nicobar-islands","2020","2","Oppo","2976","9.09813"
"andaman-&-nicobar-islands","2020","2","Realme","1761","5.38367"
"andaman-&-nicobar-islands","2020","2","OnePlus","1271","3.88566"
"andaman-&-nicobar-islands","2020","2","Huawei","1005","3.07245"
"andaman-&-nicobar-islands","2020","2","Apple","792","2.42128"
"andaman-&-nicobar-islands","2020","2","Motorola","779","2.38153"
"andaman-&-nicobar-islands","2020","2","Lenovo","552","1.68756"
"andaman-&-nicobar-islands","2020","2","Others","2617","8.00061"
"andaman-&-nicobar-islands","2020","3","Xiaomi","9794","23.6942"
"andaman-&-nicobar-islands","2020","3","Vivo","9556","23.1184"
"andaman-&-nicobar-islands","2020","3","Samsung","7572","18.3186"
"andaman-&-nicobar-islands","2020","3","Oppo","3730","9.02383"
"andaman-&-nicobar-islands","2020","3","Realme","2285","5.528"
"andaman-&-nicobar-islands","2020","3","OnePlus","1440","3.48373"
"andaman-&-nicobar-islands","2020","3","Huawei","1213","2.93456"
"andaman-&-nicobar-islands","2020","3","Motorola","907","2.19427"
"andaman-&-nicobar-islands","2020","3","Apple","870","2.10475"
"andaman-&-nicobar-islands","2020","3","Lenovo","606","1.46607"
"andaman-&-nicobar-islands","2020","3","Others","3362","8.13354"
"andaman-&-nicobar-islands","2020","4","Xiaomi","12398","23.6621"
"andaman-&-nicobar-islands","2020","4","Vivo","12275","23.4274"
"andaman-&-nicobar-islands","2020","4","Samsung","9938","18.9671"
"andaman-&-nicobar-islands","2020","4","Oppo","4723","9.01405"
"andaman-&-nicobar-islands","2020","4","Realme","2996","5.71799"
"andaman-&-nicobar-islands","2020","4","OnePlus","1638","3.12619"
"andaman-&-nicobar-islands","2020","4","Huawei","1472","2.80937"
"andaman-&-nicobar-islands","2020","4","Motorola","1032","1.96962"
"andaman-&-nicobar-islands","2020","4","Apple","973","1.85701"
"andaman-&-nicobar-islands","2020","4","Lenovo","708","1.35125"
"andaman-&-nicobar-islands","2020","4","Others","4243","8.09795"
"andaman-&-nicobar-islands","2021","1","Vivo","13812","23.9136"
"andaman-&-nicobar-islands","2021","1","Xiaomi","13714","23.7439"
"andaman-&-nicobar-islands","2021","1","Samsung","10861","18.8043"
"andaman-&-nicobar-islands","2021","1","Oppo","5158","8.93036"
"andaman-&-nicobar-islands","2021","1","Realme","3419","5.91953"
"andaman-&-nicobar-islands","2021","1","OnePlus","1773","3.0697"
"andaman-&-nicobar-islands","2021","1","Huawei","1575","2.7269"
"andaman-&-nicobar-islands","2021","1","Motorola","1062","1.83871"
"andaman-&-nicobar-islands","2021","1","Apple","1056","1.82832"
"andaman-&-nicobar-islands","2021","1","Tecno","796","1.37816"
"andaman-&-nicobar-islands","2021","1","Others","4532","7.84653"
"andaman-&-nicobar-islands","2021","2","Vivo","15056","24.2467"
"andaman-&-nicobar-islands","2021","2","Xiaomi","14788","23.8151"
"andaman-&-nicobar-islands","2021","2","Samsung","11476","18.4814"
"andaman-&-nicobar-islands","2021","2","Oppo","5456","8.78654"
"andaman-&-nicobar-islands","2021","2","Realme","4034","6.4965"
"andaman-&-nicobar-islands","2021","2","OnePlus","1981","3.19027"
"andaman-&-nicobar-islands","2021","2","Huawei","1559","2.51067"
"andaman-&-nicobar-islands","2021","2","Apple","1153","1.85683"
"andaman-&-nicobar-islands","2021","2","Motorola","1054","1.6974"
"andaman-&-nicobar-islands","2021","2","Tecno","974","1.56856"
"andaman-&-nicobar-islands","2021","2","Others","4564","7.35003"
"andaman-&-nicobar-islands","2021","3","Vivo","16411","24.5006"
"andaman-&-nicobar-islands","2021","3","Xiaomi","15938","23.7945"
