"UnionTerritories","Year","Quarter","District","Registered_User"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","dadra and nagar haveli district","69833"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","diu district","5452"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","daman district","51093"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","dadra and nagar haveli district","83987"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","diu district","6193"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","daman district","58005"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","dadra and nagar haveli district","94382"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","diu district","6746"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","daman district","64854"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","dadra and nagar haveli district","105329"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","diu district","7323"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","daman district","72470"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","dadra and nagar haveli district","117805"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","diu district","7912"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","daman district","80329"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","dadra and nagar haveli district","130255"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","diu district","8795"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","daman district","90016"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","dadra and nagar haveli district","146003"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","diu district","9655"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","daman district","98108"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","dadra and nagar haveli district","160183"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","diu district","10550"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","daman district","108511"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","dadra and nagar haveli district","177432"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","diu district","11406"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","daman district","117728"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","dadra and nagar haveli district","192262"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","diu district","12220"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","daman district","126258"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","dadra and nagar haveli district","206516"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","3","diu district","13167"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","3","daman district","135976"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","3","dadra and nagar haveli district","222731"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","4","diu district","14047"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","4","daman district","145806"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","4","dadra and nagar haveli district","239110"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","1","diu district","14964"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","1","daman district","155029"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","1","dadra and nagar haveli district","254577"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","2","diu district","15811"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","2","daman district","163861"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","2","dadra and nagar haveli district","269344"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","3","diu district","16665"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","3","daman district","173219"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","3","dadra and nagar haveli district","284923"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","4","diu district","17427"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","4","daman district","182481"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","4","dadra and nagar haveli district","300217"
"delhi","2018","1","south district","156706"
"delhi","2018","1","central district","202723"
"delhi","2018","1","new delhi district","212008"
"delhi","2018","1","west district","308558"
"delhi","2018","1","south west district","179197"
"delhi","2018","1","south east delhi district","251213"
"delhi","2018","1","shahdara district","114549"
"delhi","2018","1","north east district","95472"
"delhi","2018","1","east district","169295"
"delhi","2018","1","north west district","223679"
"delhi","2018","1","north district","173622"
"delhi","2018","2","south district","206935"
"delhi","2018","2","central district","267154"
"delhi","2018","2","new delhi district","282319"
"delhi","2018","2","west district","406877"
"delhi","2018","2","south west district","236789"
"delhi","2018","2","south east delhi district","333350"
"delhi","2018","2","shahdara district","152113"
"delhi","2018","2","north east district","127159"
"delhi","2018","2","east district","221449"
"delhi","2018","2","north west district","294038"
"delhi","2018","2","north district","227958"
"delhi","2018","3","south district","264628"
"delhi","2018","3","central district","340549"
"delhi","2018","3","new delhi district","363140"
"delhi","2018","3","west district","515854"
"delhi","2018","3","south west district","297663"
"delhi","2018","3","south east delhi district","423177"
