"State","Year","Quarter","Brands","User_Count","User_Percentage"
"andhra-pradesh","2020","1","Huawei","348324","2.67488"
"andhra-pradesh","2020","1","Apple","329329","2.52901"
"andhra-pradesh","2020","1","OnePlus","298911","2.29542"
"andhra-pradesh","2020","1","Lenovo","227154","1.74438"
"andhra-pradesh","2020","1","Others","964486","7.40655"
"andhra-pradesh","2020","2","Xiaomi","3635594","25.3888"
"andhra-pradesh","2020","2","Samsung","2888149","20.1691"
"andhra-pradesh","2020","2","Vivo","2409399","16.8258"
"andhra-pradesh","2020","2","Oppo","1535129","10.7204"
"andhra-pradesh","2020","2","Realme","1072165","7.48736"
"andhra-pradesh","2020","2","Motorola","445380","3.11027"
"andhra-pradesh","2020","2","Huawei","379220","2.64824"
"andhra-pradesh","2020","2","Apple","348938","2.43677"
"andhra-pradesh","2020","2","OnePlus","309208","2.15932"
"andhra-pradesh","2020","2","Lenovo","243288","1.69898"
"andhra-pradesh","2020","2","Others","1053205","7.35495"
"andhra-pradesh","2020","3","Xiaomi","3978789","25.3549"
"andhra-pradesh","2020","3","Samsung","3154020","20.099"
"andhra-pradesh","2020","3","Vivo","2687996","17.1293"
"andhra-pradesh","2020","3","Oppo","1695723","10.806"
"andhra-pradesh","2020","3","Realme","1207622","7.69558"
"andhra-pradesh","2020","3","Motorola","477313","3.04168"
"andhra-pradesh","2020","3","Huawei","408520","2.6033"
"andhra-pradesh","2020","3","Apple","370327","2.35991"
"andhra-pradesh","2020","3","OnePlus","322028","2.05213"
"andhra-pradesh","2020","3","Lenovo","260912","1.66266"
"andhra-pradesh","2020","3","Others","1129155","7.19555"
"andhra-pradesh","2020","4","Xiaomi","4325662","25.331"
"andhra-pradesh","2020","4","Samsung","3419866","20.0267"
"andhra-pradesh","2020","4","Vivo","2950572","17.2785"
"andhra-pradesh","2020","4","Oppo","1856052","10.869"
"andhra-pradesh","2020","4","Realme","1361491","7.97286"
"andhra-pradesh","2020","4","Motorola","506158","2.96405"
"andhra-pradesh","2020","4","Huawei","437125","2.55979"
"andhra-pradesh","2020","4","Apple","394191","2.30837"
"andhra-pradesh","2020","4","OnePlus","336518","1.97064"
"andhra-pradesh","2020","4","Lenovo","276671","1.62018"
"andhra-pradesh","2020","4","Others","1212259","7.09896"
"andhra-pradesh","2021","1","Xiaomi","4644641","25.2925"
"andhra-pradesh","2021","1","Samsung","3635596","19.7977"
"andhra-pradesh","2021","1","Vivo","3245151","17.6715"
"andhra-pradesh","2021","1","Oppo","2010506","10.9482"
"andhra-pradesh","2021","1","Realme","1531645","8.3406"
"andhra-pradesh","2021","1","Motorola","518115","2.8214"
"andhra-pradesh","2021","1","Huawei","455604","2.481"
"andhra-pradesh","2021","1","Apple","421002","2.29257"
"andhra-pradesh","2021","1","OnePlus","355922","1.93818"
"andhra-pradesh","2021","1","Lenovo","277980","1.51374"
"andhra-pradesh","2021","1","Others","1267571","6.90258"
"andhra-pradesh","2021","2","Xiaomi","4937684","25.1654"
"andhra-pradesh","2021","2","Samsung","3798250","19.3582"
"andhra-pradesh","2021","2","Vivo","3572140","18.2058"
"andhra-pradesh","2021","2","Oppo","2173037","11.0751"
"andhra-pradesh","2021","2","Realme","1817804","9.26463"
"andhra-pradesh","2021","2","Motorola","503072","2.56396"
"andhra-pradesh","2021","2","Apple","450689","2.29698"
"andhra-pradesh","2021","2","Huawei","440324","2.24416"
"andhra-pradesh","2021","2","OnePlus","394851","2.0124"
"andhra-pradesh","2021","2","Lenovo","261201","1.33124"
"andhra-pradesh","2021","2","Others","1271853","6.48213"
"andhra-pradesh","2021","3","Xiaomi","5256707","24.9607"
