"UnionTerritories","Year","Quarter","District","Transaction_Count","Transaction_Amount"
"jammu-&-kashmir","2019","1","srinagar district","310516","595281000"
"jammu-&-kashmir","2019","1","baramulla district","164873","235373000"
"jammu-&-kashmir","2019","1","jammu district","336553","880021000"
"jammu-&-kashmir","2019","1","ganderbal district","44270","53435100"
"jammu-&-kashmir","2019","1","udhampur district","61146","165236000"
"jammu-&-kashmir","2019","1","bandipore district","41790","57896100"
"jammu-&-kashmir","2019","1","reasi district","27880","66524100"
"jammu-&-kashmir","2019","1","shopian district","18043","29280800"
"jammu-&-kashmir","2019","1","poonch district","1923655","2702490000"
"jammu-&-kashmir","2019","1","kathua district","65843","123437000"
"jammu-&-kashmir","2019","1","kishtwar district","8801","24577300"
"jammu-&-kashmir","2019","1","pulwama district","73558","128624000"
"jammu-&-kashmir","2019","1","ramban district","21258","51349100"
"jammu-&-kashmir","2019","1","rajouri district","45577","133204000"
"jammu-&-kashmir","2019","1","kulgam district","64816","58528100"
"jammu-&-kashmir","2019","1","budgam district","141988","182507000"
"jammu-&-kashmir","2019","1","anantnag district","92467","115883000"
"jammu-&-kashmir","2019","1","kupwara district","65813","158106000"
"jammu-&-kashmir","2019","2","muzaffarabad district","358","1356180"
"jammu-&-kashmir","2019","2","doda district","25374","74037800"
"jammu-&-kashmir","2019","2","samba district","54413","142027000"
"jammu-&-kashmir","2019","2","mirpur district","5820","25541000"
"jammu-&-kashmir","2019","2","srinagar district","721517","1997440000"
"jammu-&-kashmir","2019","2","baramulla district","150503","324306000"
"jammu-&-kashmir","2019","2","jammu district","532412","1521240000"
"jammu-&-kashmir","2019","2","ganderbal district","42072","87050200"
"jammu-&-kashmir","2019","2","udhampur district","70405","212612000"
"jammu-&-kashmir","2019","2","bandipore district","41227","86691200"
"jammu-&-kashmir","2019","2","reasi district","35425","91038300"
"jammu-&-kashmir","2019","2","shopian district","19607","47839000"
"jammu-&-kashmir","2019","2","poonch district","38370","120248000"
"jammu-&-kashmir","2019","2","kathua district","62989","140667000"
"jammu-&-kashmir","2019","2","kishtwar district","13465","36239000"
"jammu-&-kashmir","2019","2","pulwama district","72486","192069000"
"jammu-&-kashmir","2019","2","ramban district","32101","87397700"
"jammu-&-kashmir","2019","2","rajouri district","59741","189339000"
"jammu-&-kashmir","2019","2","kulgam district","47276","70172200"
"jammu-&-kashmir","2019","2","budgam district","118107","244724000"
"jammu-&-kashmir","2019","2","anantnag district","76968","176893000"
"jammu-&-kashmir","2019","2","kupwara district","75719","231220000"
"jammu-&-kashmir","2019","3","muzaffarabad district","289","878368"
"jammu-&-kashmir","2019","3","doda district","13665","39001600"
"jammu-&-kashmir","2019","3","samba district","32337","83363000"
"jammu-&-kashmir","2019","3","mirpur district","3501","11882500"
"jammu-&-kashmir","2019","3","srinagar district","329195","1391920000"
"jammu-&-kashmir","2019","3","baramulla district","55226","164312000"
"jammu-&-kashmir","2019","3","jammu district","275239","885414000"
"jammu-&-kashmir","2019","3","ganderbal district","20047","58009500"
"jammu-&-kashmir","2019","3","udhampur district","43153","135163000"
"jammu-&-kashmir","2019","3","bandipore district","15986","42396400"
"jammu-&-kashmir","2019","3","reasi district","22807","59225400"
"jammu-&-kashmir","2019","3","shopian district","7786","16229900"
"jammu-&-kashmir","2019","3","poonch district","23270","75145800"
"jammu-&-kashmir","2019","3","kathua district","42083","90084600"
"jammu-&-kashmir","2019","3","kishtwar district","7443","21173600"
"jammu-&-kashmir","2019","3","pulwama district","33089","104267000"
"jammu-&-kashmir","2019","3","ramban district","23615","69645600"
"jammu-&-kashmir","2019","3","rajouri district","34386","112170000"
"jammu-&-kashmir","2019","3","kulgam district","17217","33851200"
"jammu-&-kashmir","2019","3","budgam district","41566","114191000"
"jammu-&-kashmir","2019","3","anantnag district","39325","117283000"
"jammu-&-kashmir","2019","3","kupwara district","35301","118626000"
"jammu-&-kashmir","2019","4","muzaffarabad district","13","33490.7"
"jammu-&-kashmir","2019","4","doda district","2864","13087000"
"jammu-&-kashmir","2019","4","samba district","14817","53713300"
"jammu-&-kashmir","2019","4","mirpur district","642","3841260"
"jammu-&-kashmir","2019","4","srinagar district","117133","474223000"
"jammu-&-kashmir","2019","4","baramulla district","8345","30863300"
"jammu-&-kashmir","2019","4","jammu district","231238","928579000"
"jammu-&-kashmir","2019","4","ganderbal district","834","4743500"
"jammu-&-kashmir","2019","4","udhampur district","22103","91344400"
"jammu-&-kashmir","2019","4","bandipore district","300","1680080"
"jammu-&-kashmir","2019","4","reasi district","12986","43788300"
"jammu-&-kashmir","2019","4","shopian district","285","648556"
"jammu-&-kashmir","2019","4","poonch district","10130","37926600"
"jammu-&-kashmir","2019","4","kathua district","28288","83151100"
"jammu-&-kashmir","2019","4","kishtwar district","2057","9695990"
"jammu-&-kashmir","2019","4","pulwama district","1473","9185350"
"jammu-&-kashmir","2019","4","ramban district","14088","49372200"
"jammu-&-kashmir","2019","4","rajouri district","15973","65942800"
"jammu-&-kashmir","2019","4","kulgam district","211","982047"
"jammu-&-kashmir","2019","4","budgam district","2351","11629900"
"jammu-&-kashmir","2019","4","anantnag district","3109","11464600"
"jammu-&-kashmir","2019","4","kupwara district","688","3800280"
"jammu-&-kashmir","2020","1","muzaffarabad district","112","436694"
"jammu-&-kashmir","2020","1","doda district","14126","38583600"
"jammu-&-kashmir","2020","1","samba district","32933","90185200"
"jammu-&-kashmir","2020","1","mirpur district","3104","11580800"
"jammu-&-kashmir","2020","1","srinagar district","127979","474473000"
"jammu-&-kashmir","2020","1","baramulla district","38477","102651000"
"jammu-&-kashmir","2020","1","jammu district","363150","1275560000"
"jammu-&-kashmir","2020","1","ganderbal district","10813","28214500"
"jammu-&-kashmir","2020","1","udhampur district","45339","137536000"
"jammu-&-kashmir","2020","1","bandipore district","10311","27789800"
"jammu-&-kashmir","2020","1","reasi district","24431","69003900"
"jammu-&-kashmir","2020","1","shopian district","7878","18157400"
"jammu-&-kashmir","2020","1","poonch district","16709","52760100"
"jammu-&-kashmir","2020","1","kathua district","48120","107171000"
"jammu-&-kashmir","2020","1","kishtwar district","9710","27259900"
"jammu-&-kashmir","2020","1","pulwama district","26598","76212200"
"jammu-&-kashmir","2020","1","ramban district","12796","34487900"
"jammu-&-kashmir","2020","1","rajouri district","28561","88475400"
"jammu-&-kashmir","2020","1","kulgam district","12394","24289900"
"jammu-&-kashmir","2020","1","budgam district","32991","95338600"
"jammu-&-kashmir","2020","1","anantnag district","25741","70085600"
"jammu-&-kashmir","2020","1","kupwara district","29357","87388100"
"jammu-&-kashmir","2020","2","muzaffarabad district","656","2880430"
"jammu-&-kashmir","2020","2","doda district","57928","135991000"
"jammu-&-kashmir","2020","2","samba district","92336","202734000"
"jammu-&-kashmir","2020","2","mirpur district","14046","44622100"
"jammu-&-kashmir","2020","2","srinagar district","440808","1810810000"
"jammu-&-kashmir","2020","2","baramulla district","139478","414667000"
"jammu-&-kashmir","2020","2","jammu district","819252","2746980000"
"jammu-&-kashmir","2020","2","ganderbal district","36483","106190000"
"jammu-&-kashmir","2020","2","udhampur district","127419","319173000"
"jammu-&-kashmir","2020","2","bandipore district","36152","102724000"
"jammu-&-kashmir","2020","2","reasi district","49746","106410000"
"jammu-&-kashmir","2020","2","shopian district","24785","66218000"
"jammu-&-kashmir","2020","2","poonch district","65969","192101000"
"jammu-&-kashmir","2020","2","kathua district","114835","227978000"
"jammu-&-kashmir","2020","2","kishtwar district","29206","75514000"
"jammu-&-kashmir","2020","2","pulwama district","85402","271480000"
"jammu-&-kashmir","2020","2","ramban district","39854","102643000"
"jammu-&-kashmir","2020","2","rajouri district","104655","305657000"
"jammu-&-kashmir","2020","2","kulgam district","42870","100175000"
"jammu-&-kashmir","2020","2","budgam district","112970","331830000"
"jammu-&-kashmir","2020","2","anantnag district","85384","239712000"
"jammu-&-kashmir","2020","2","kupwara district","114772","359167000"
"jammu-&-kashmir","2020","3","muzaffarabad district","1572","5773810"
"jammu-&-kashmir","2020","3","doda district","68744","173985000"
"jammu-&-kashmir","2020","3","samba district","113571","309268000"
"jammu-&-kashmir","2020","3","mirpur district","15019","54072800"
"jammu-&-kashmir","2020","3","srinagar district","461915","1879040000"
"jammu-&-kashmir","2020","3","baramulla district","183583","580426000"
"jammu-&-kashmir","2020","3","jammu district","1266667","4876920000"
"jammu-&-kashmir","2020","3","ganderbal district","50743","155780000"
"jammu-&-kashmir","2020","3","udhampur district","154296","445181000"
"jammu-&-kashmir","2020","3","bandipore district","48450","147013000"
"jammu-&-kashmir","2020","3","reasi district","56486","135099000"
"jammu-&-kashmir","2020","3","shopian district","34708","101327000"
"jammu-&-kashmir","2020","3","poonch district","76518","263708000"
"jammu-&-kashmir","2020","3","kathua district","126283","311678000"
"jammu-&-kashmir","2020","3","kishtwar district","31188","83180100"
"jammu-&-kashmir","2020","3","pulwama district","114833","372238000"
"jammu-&-kashmir","2020","3","ramban district","45879","125849000"
"jammu-&-kashmir","2020","3","rajouri district","125973","413621000"
"jammu-&-kashmir","2020","3","kulgam district","55854","145784000"
"jammu-&-kashmir","2020","3","budgam district","148225","477024000"
"jammu-&-kashmir","2020","3","anantnag district","128022","403570000"
"jammu-&-kashmir","2020","3","kupwara district","157369","516695000"
"jammu-&-kashmir","2020","4","muzaffarabad district","2190","8320760"
"jammu-&-kashmir","2020","4","doda district","101107","228887000"
"jammu-&-kashmir","2020","4","samba district","192767","485509000"
"jammu-&-kashmir","2020","4","mirpur district","22039","79706400"
"jammu-&-kashmir","2020","4","srinagar district","731076","2177640000"
"jammu-&-kashmir","2020","4","baramulla district","412433","862595000"
"jammu-&-kashmir","2020","4","jammu district","1776840","5696310000"
"jammu-&-kashmir","2020","4","ganderbal district","92285","201136000"
"jammu-&-kashmir","2020","4","udhampur district","248906","646829000"
"jammu-&-kashmir","2020","4","bandipore district","106767","229201000"
"jammu-&-kashmir","2020","4","reasi district","100618","229256000"
"jammu-&-kashmir","2020","4","shopian district","71983","161658000"
"jammu-&-kashmir","2020","4","poonch district","117245","342505000"
"jammu-&-kashmir","2020","4","kathua district","226360","463046000"
"jammu-&-kashmir","2020","4","kishtwar district","51330","107186000"
"jammu-&-kashmir","2020","4","pulwama district","219731","551824000"
"jammu-&-kashmir","2020","4","ramban district","78367","192684000"
"jammu-&-kashmir","2020","4","rajouri district","196713","567890000"
"jammu-&-kashmir","2020","4","kulgam district","124253","220794000"
"jammu-&-kashmir","2020","4","budgam district","295461","692267000"
"jammu-&-kashmir","2020","4","anantnag district","282499","514347000"
"jammu-&-kashmir","2020","4","kupwara district","303474","721320000"
"jammu-&-kashmir","2021","1","muzaffarabad district","1760","7018770"
"jammu-&-kashmir","2021","1","doda district","93540","197963000"
"jammu-&-kashmir","2021","1","samba district","201873","489545000"
"jammu-&-kashmir","2021","1","mirpur district","19836","76641400"
"jammu-&-kashmir","2021","1","srinagar district","1027161","2568960000"
"jammu-&-kashmir","2021","1","baramulla district","410535","785025000"
"jammu-&-kashmir","2021","1","jammu district","2651223","7421540000"
"jammu-&-kashmir","2021","1","ganderbal district","90691","163957000"
"jammu-&-kashmir","2021","1","udhampur district","253788","659212000"
"jammu-&-kashmir","2021","1","bandipore district","110105","212282000"
"jammu-&-kashmir","2021","1","reasi district","129459","310188000"
"jammu-&-kashmir","2021","1","shopian district","72084","140202000"
"jammu-&-kashmir","2021","1","poonch district","103668","299466000"
"jammu-&-kashmir","2021","1","kathua district","245017","476738000"
"jammu-&-kashmir","2021","1","kishtwar district","51696","119471000"
"jammu-&-kashmir","2021","1","pulwama district","230547","506299000"
"jammu-&-kashmir","2021","1","ramban district","79917","198842000"
"jammu-&-kashmir","2021","1","rajouri district","185784","544733000"
"jammu-&-kashmir","2021","1","kulgam district","118926","178549000"
"jammu-&-kashmir","2021","1","budgam district","314969","629197000"
"jammu-&-kashmir","2021","1","anantnag district","317577","500687000"
"jammu-&-kashmir","2021","1","kupwara district","287414","651844000"
"jammu-&-kashmir","2021","2","muzaffarabad district","3148","10754000"
"jammu-&-kashmir","2021","2","doda district","140197","278351000"
"jammu-&-kashmir","2021","2","samba district","272944","627783000"
"jammu-&-kashmir","2021","2","mirpur district","27536","100332000"
"jammu-&-kashmir","2021","2","srinagar district","1529261","3491630000"
"jammu-&-kashmir","2021","2","baramulla district","558737","966624000"
"jammu-&-kashmir","2021","2","jammu district","3793205","10159800000"
"jammu-&-kashmir","2021","2","ganderbal district","140457","232925000"
"jammu-&-kashmir","2021","2","udhampur district","361814","841569000"
"jammu-&-kashmir","2021","2","bandipore district","160002","285432000"
"jammu-&-kashmir","2021","2","reasi district","155375","315744000"
"jammu-&-kashmir","2021","2","shopian district","103178","162613000"
"jammu-&-kashmir","2021","2","poonch district","155606","414594000"
"jammu-&-kashmir","2021","2","kathua district","329534","635044000"
"jammu-&-kashmir","2021","2","kishtwar district","76391","153412000"
"jammu-&-kashmir","2021","2","pulwama district","332326","632761000"
"jammu-&-kashmir","2021","2","ramban district","117866","253972000"
"jammu-&-kashmir","2021","2","rajouri district","239185","634121000"
"jammu-&-kashmir","2021","2","kulgam district","192379","256728000"
"jammu-&-kashmir","2021","2","budgam district","450138","822333000"
"jammu-&-kashmir","2021","2","anantnag district","479956","717789000"
"jammu-&-kashmir","2021","2","kupwara district","408584","819479000"
"jammu-&-kashmir","2021","3","muzaffarabad district","4058","15722000"
"jammu-&-kashmir","2021","3","doda district","178242","377445000"
"jammu-&-kashmir","2021","3","samba district","352992","822874000"
"jammu-&-kashmir","2021","3","mirpur district","32777","122346000"
"jammu-&-kashmir","2021","3","srinagar district","2196468","5510880000"
"jammu-&-kashmir","2021","3","baramulla district","647847","1285810000"
"jammu-&-kashmir","2021","3","jammu district","5192026","13867900000"
"jammu-&-kashmir","2021","3","ganderbal district","176334","338209000"
"jammu-&-kashmir","2021","3","udhampur district","476615","1090590000"
"jammu-&-kashmir","2021","3","bandipore district","177163","340900000"
"jammu-&-kashmir","2021","3","reasi district","247073","542553000"
"jammu-&-kashmir","2021","3","shopian district","124570","229099000"
"jammu-&-kashmir","2021","3","poonch district","182447","520995000"
"jammu-&-kashmir","2021","3","kathua district","399722","762622000"
"jammu-&-kashmir","2021","3","kishtwar district","96068","208107000"
"jammu-&-kashmir","2021","3","pulwama district","393629","826512000"
"jammu-&-kashmir","2021","3","ramban district","157474","367286000"
"jammu-&-kashmir","2021","3","rajouri district","289081","823624000"
"jammu-&-kashmir","2021","3","kulgam district","223401","360261000"
"jammu-&-kashmir","2021","3","budgam district","545818","1112800000"
"jammu-&-kashmir","2021","3","anantnag district","580106","938065000"
"jammu-&-kashmir","2021","3","kupwara district","477130","1133800000"
"jammu-&-kashmir","2021","4","muzaffarabad district","5831","21241400"
"jammu-&-kashmir","2021","4","doda district","235025","435238000"
"jammu-&-kashmir","2021","4","samba district","492079","1144810000"
"jammu-&-kashmir","2021","4","mirpur district","39050","142452000"
"jammu-&-kashmir","2021","4","srinagar district","2900577","7232270000"
"jammu-&-kashmir","2021","4","baramulla district","787593","1567280000"
"jammu-&-kashmir","2021","4","jammu district","6639541","16627600000"
"jammu-&-kashmir","2021","4","ganderbal district","211443","370559000"
"jammu-&-kashmir","2021","4","udhampur district","621122","1409020000"
"jammu-&-kashmir","2021","4","bandipore district","230443","426225000"
"jammu-&-kashmir","2021","4","reasi district","332221","721603000"
"jammu-&-kashmir","2021","4","shopian district","158150","324100000"
"jammu-&-kashmir","2021","4","poonch district","224247","610047000"
"jammu-&-kashmir","2021","4","kathua district","528207","1082470000"
"jammu-&-kashmir","2021","4","kishtwar district","120885","242173000"
"jammu-&-kashmir","2021","4","pulwama district","462342","988007000"
"jammu-&-kashmir","2021","4","ramban district","199682","423302000"
"jammu-&-kashmir","2021","4","rajouri district","363872","998884000"
"jammu-&-kashmir","2021","4","kulgam district","279358","450819000"
"jammu-&-kashmir","2021","4","budgam district","678080","1358480000"
"jammu-&-kashmir","2021","4","anantnag district","683078","1035800000"
"jammu-&-kashmir","2021","4","kupwara district","597802","1313830000"
"jammu-&-kashmir","2022","1","muzaffarabad district","5151","19960000"
"jammu-&-kashmir","2022","1","doda district","243924","421317000"
"jammu-&-kashmir","2022","1","samba district","588078","1229540000"
"jammu-&-kashmir","2022","1","mirpur district","38244","124084000"
"jammu-&-kashmir","2022","1","srinagar district","2743701","5949340000"
"jammu-&-kashmir","2022","1","baramulla district","877608","1607190000"
"jammu-&-kashmir","2022","1","jammu district","5510056","11881700000"
"jammu-&-kashmir","2022","1","ganderbal district","210863","345901000"
"jammu-&-kashmir","2022","1","udhampur district","729905","1568040000"
"jammu-&-kashmir","2022","1","bandipore district","259483","442351000"
"jammu-&-kashmir","2022","1","reasi district","362457","730879000"
"jammu-&-kashmir","2022","1","shopian district","162032","256595000"
"jammu-&-kashmir","2022","1","poonch district","242450","638026000"
"jammu-&-kashmir","2022","1","kathua district","608852","1177350000"
"jammu-&-kashmir","2022","1","kishtwar district","142061","253795000"
"jammu-&-kashmir","2022","1","pulwama district","508605","1004680000"
"jammu-&-kashmir","2022","1","ramban district","212611","426251000"
"jammu-&-kashmir","2022","1","rajouri district","397302","1014910000"
"jammu-&-kashmir","2022","1","kulgam district","300260","402883000"
"jammu-&-kashmir","2022","1","budgam district","718312","1319710000"
"jammu-&-kashmir","2022","1","anantnag district","728868","1032530000"
"jammu-&-kashmir","2022","1","kupwara district","654488","1300780000"
"jammu-&-kashmir","2022","2","muzaffarabad district","10444","33449200"
"jammu-&-kashmir","2022","2","doda district","339886","563086000"
"jammu-&-kashmir","2022","2","samba district","783532","1573110000"
"jammu-&-kashmir","2022","2","mirpur district","56603","166355000"
"jammu-&-kashmir","2022","2","srinagar district","4660647","9640280000"
"jammu-&-kashmir","2022","2","baramulla district","1226879","2154960000"
"jammu-&-kashmir","2022","2","jammu district","7441002","14881000000"
"jammu-&-kashmir","2022","2","ganderbal district","408175","736412000"
"jammu-&-kashmir","2022","2","udhampur district","947548","1877650000"
"jammu-&-kashmir","2022","2","bandipore district","360875","621883000"
"jammu-&-kashmir","2022","2","reasi district","548687","1063810000"
"jammu-&-kashmir","2022","2","shopian district","268677","434290000"
"jammu-&-kashmir","2022","2","poonch district","357832","884012000"
"jammu-&-kashmir","2022","2","kathua district","817009","1514110000"
"jammu-&-kashmir","2022","2","kishtwar district","188126","322575000"
"jammu-&-kashmir","2022","2","pulwama district","790442","1527000000"
"jammu-&-kashmir","2022","2","ramban district","320262","607096000"
"jammu-&-kashmir","2022","2","rajouri district","565064","1321640000"
"jammu-&-kashmir","2022","2","kulgam district","479844","650871000"
"jammu-&-kashmir","2022","2","budgam district","1052343","1977190000"
"jammu-&-kashmir","2022","2","anantnag district","1214291","1884520000"
"jammu-&-kashmir","2022","2","kupwara district","975579","1819040000"
"jammu-&-kashmir","2022","3","muzaffarabad district","12533","36613700"
"jammu-&-kashmir","2022","3","doda district","373904","609473000"
"jammu-&-kashmir","2022","3","samba district","842829","1581920000"
"jammu-&-kashmir","2022","3","mirpur district","57562","165964000"
"jammu-&-kashmir","2022","3","srinagar district","2447805","4804160000"
"jammu-&-kashmir","2022","3","baramulla district","1311393","2203520000"
"jammu-&-kashmir","2022","3","jammu district","7526503","13607600000"
"jammu-&-kashmir","2022","3","ganderbal district","472648","930632000"
"jammu-&-kashmir","2022","3","udhampur district","997199","1863830000"
"jammu-&-kashmir","2022","3","bandipore district","386029","668983000"
"jammu-&-kashmir","2022","3","reasi district","570648","1072010000"
"jammu-&-kashmir","2022","3","shopian district","320567","501659000"
"jammu-&-kashmir","2022","3","poonch district","388681","897489000"
"jammu-&-kashmir","2022","3","kathua district","834884","1473460000"
"jammu-&-kashmir","2022","3","kishtwar district","225295","396196000"
"jammu-&-kashmir","2022","3","pulwama district","847472","1623090000"
"jammu-&-kashmir","2022","3","ramban district","366778","680698000"
"jammu-&-kashmir","2022","3","rajouri district","579577","1320000000"
"jammu-&-kashmir","2022","3","kulgam district","539004","763536000"
"jammu-&-kashmir","2022","3","budgam district","1140418","1992490000"
"jammu-&-kashmir","2022","3","anantnag district","1263844","1939520000"
"jammu-&-kashmir","2022","3","kupwara district","1028821","1830710000"
"jammu-&-kashmir","2022","4","muzaffarabad district","14832","35055800"
"jammu-&-kashmir","2022","4","doda district","513476","629795000"
"jammu-&-kashmir","2022","4","samba district","1025985","1822010000"
"jammu-&-kashmir","2022","4","mirpur district","72961","184917000"
"jammu-&-kashmir","2022","4","srinagar district","3176470","5356770000"
"jammu-&-kashmir","2022","4","baramulla district","1599504","2370520000"
"jammu-&-kashmir","2022","4","jammu district","9213783","15674900000"
"jammu-&-kashmir","2022","4","ganderbal district","411732","597518000"
"jammu-&-kashmir","2022","4","udhampur district","1227109","2035000000"
"jammu-&-kashmir","2022","4","bandipore district","451513","626896000"
"jammu-&-kashmir","2022","4","reasi district","700011","1146620000"
"jammu-&-kashmir","2022","4","shopian district","402989","610806000"
"jammu-&-kashmir","2022","4","poonch district","538857","1050590000"
"jammu-&-kashmir","2022","4","kathua district","1035799","1765330000"
"jammu-&-kashmir","2022","4","kishtwar district","283374","387202000"
"jammu-&-kashmir","2022","4","pulwama district","963378","1594430000"
"jammu-&-kashmir","2022","4","ramban district","438060","692351000"
"jammu-&-kashmir","2022","4","rajouri district","726588","1476620000"
"jammu-&-kashmir","2022","4","kulgam district","654424","837066000"
"jammu-&-kashmir","2022","4","budgam district","1306982","1932170000"
"jammu-&-kashmir","2022","4","anantnag district","1338553","1684090000"
"jammu-&-kashmir","2022","4","kupwara district","1219778","1804600000"
"ladakh","2018","1","kargil district","1244","3430930"
"ladakh","2018","1","leh ladakh district","4845","9101930"
"ladakh","2018","2","kargil district","4041","14170700"
"ladakh","2018","2","leh ladakh district","10969","33164200"
"ladakh","2018","3","kargil district","6149","20173100"
"ladakh","2018","3","leh ladakh district","18715","63917800"
"ladakh","2018","4","kargil district","8373","31643800"
"ladakh","2018","4","leh ladakh district","26838","103879000"
"ladakh","2019","1","kargil district","9825","34328600"
"ladakh","2019","1","leh ladakh district","36320","118531000"
"ladakh","2019","2","kargil district","15289","57479600"
"ladakh","2019","2","leh ladakh district","53483","201776000"
"ladakh","2019","3","kargil district","13855","47841100"
"ladakh","2019","3","leh ladakh district","78541","283288000"
"ladakh","2019","4","kargil district","5302","22099800"
"ladakh","2019","4","leh ladakh district","79404","302590000"
"ladakh","2020","1","kargil district","24169","68749900"
"ladakh","2020","1","leh ladakh district","92250","308890000"
"ladakh","2020","2","kargil district","38403","125415000"
"ladakh","2020","2","leh ladakh district","116607","398378000"
"ladakh","2020","3","kargil district","53708","183141000"
"ladakh","2020","3","leh ladakh district","174514","652347000"
"ladakh","2020","4","kargil district","79680","242683000"
"ladakh","2020","4","leh ladakh district","252454","869281000"
"ladakh","2021","1","kargil district","58756","181498000"
"ladakh","2021","1","leh ladakh district","216659","801922000"
"ladakh","2021","2","kargil district","91914","284985000"
"ladakh","2021","2","leh ladakh district","307802","1142270000"
"ladakh","2021","3","kargil district","128949","444521000"
"ladakh","2021","3","leh ladakh district","462038","1769460000"
"ladakh","2021","4","kargil district","134957","416648000"
"ladakh","2021","4","leh ladakh district","495230","1736890000"
"ladakh","2022","1","kargil district","129349","371131000"
"ladakh","2022","1","leh ladakh district","500666","1653910000"
"ladakh","2022","2","kargil district","229338","644364000"
"ladakh","2022","2","leh ladakh district","888735","2898950000"
"ladakh","2022","3","kargil district","244513","647171000"
"ladakh","2022","3","leh ladakh district","946345","2958030000"
"ladakh","2022","4","kargil district","233208","548411000"
"ladakh","2022","4","leh ladakh district","850164","2346070000"
"lakshadweep","2018","1","lakshadweep district","778","1928610"
"lakshadweep","2018","2","lakshadweep district","2132","6187810"
"lakshadweep","2018","3","lakshadweep district","1703","4339030"
"lakshadweep","2018","4","lakshadweep district","1642","4463210"
"lakshadweep","2019","1","lakshadweep district","2481","8786130"
"lakshadweep","2019","2","lakshadweep district","2926","9242520"
"lakshadweep","2019","3","lakshadweep district","3104","9651760"
"lakshadweep","2019","4","lakshadweep district","3765","11269900"
"lakshadweep","2020","1","lakshadweep district","5151","13502400"
"lakshadweep","2020","2","lakshadweep district","7220","16942900"
"lakshadweep","2020","3","lakshadweep district","8589","21306800"
"lakshadweep","2020","4","lakshadweep district","11650","30111300"
"lakshadweep","2021","1","lakshadweep district","9085","27042800"
"lakshadweep","2021","2","lakshadweep district","11384","27383500"
"lakshadweep","2021","3","lakshadweep district","13370","38803200"
"lakshadweep","2021","4","lakshadweep district","15470","50998200"
"lakshadweep","2022","1","lakshadweep district","16397","54939400"
"lakshadweep","2022","2","lakshadweep district","17569","55929600"
"lakshadweep","2022","3","lakshadweep district","15241","47580000"
"lakshadweep","2022","4","lakshadweep district","17147","54813900"
"puducherry","2018","1","karaikal district","10266","17996500"
"puducherry","2018","1","puducherry district","86486","136206000"
"puducherry","2018","1","yanam district","5948","9167580"
"puducherry","2018","1","mahe district","1512","2456280"
"puducherry","2018","2","karaikal district","18649","42127300"
"puducherry","2018","2","puducherry district","102722","224951000"
"puducherry","2018","2","yanam district","6204","15165700"
"puducherry","2018","2","mahe district","2686","3557650"
"puducherry","2018","3","karaikal district","23605","56668700"
"puducherry","2018","3","puducherry district","147716","334779000"
"puducherry","2018","3","yanam district","14243","20556900"
"puducherry","2018","3","mahe district","4707","5653450"
"puducherry","2018","4","karaikal district","34809","77106300"
"puducherry","2018","4","puducherry district","253397","511150000"
"puducherry","2018","4","yanam district","14991","30135600"
"puducherry","2018","4","mahe district","4767","7299650"
"puducherry","2019","1","karaikal district","47329","97328600"
"puducherry","2019","1","puducherry district","422723","753546000"
"puducherry","2019","1","yanam district","24489","44751700"
"puducherry","2019","1","mahe district","6551","10846700"
"puducherry","2019","2","karaikal district","31079","75135200"
"puducherry","2019","2","puducherry district","519810","1075860000"
"puducherry","2019","2","yanam district","23022","49923900"
"puducherry","2019","2","mahe district","6166","10524600"
"puducherry","2019","3","karaikal district","45737","101420000"
"puducherry","2019","3","puducherry district","629431","1279930000"
"puducherry","2019","3","yanam district","33240","64060500"
"puducherry","2019","3","mahe district","8418","15294000"
"puducherry","2019","4","karaikal district","58510","122162000"
"puducherry","2019","4","puducherry district","893985","1700000000"
"puducherry","2019","4","yanam district","48736","91368400"
"puducherry","2019","4","mahe district","11424","18497000"
"puducherry","2020","1","karaikal district","68088","136347000"
"puducherry","2020","1","puducherry district","1060927","1916830000"
"puducherry","2020","1","yanam district","65016","129872000"
"puducherry","2020","1","mahe district","13890","22225900"
"puducherry","2020","2","karaikal district","64779","128626000"
"puducherry","2020","2","puducherry district","868930","1652470000"
"puducherry","2020","2","yanam district","78024","142084000"
"puducherry","2020","2","mahe district","21650","36853800"
"puducherry","2020","3","karaikal district","85556","201796000"
"puducherry","2020","3","puducherry district","1515874","3144230000"
"puducherry","2020","3","yanam district","105613","212350000"
"puducherry","2020","3","mahe district","23859","39701100"
"puducherry","2020","4","karaikal district","141895","310516000"
"puducherry","2020","4","puducherry district","2349454","4194540000"
"puducherry","2020","4","yanam district","182547","363313000"
"puducherry","2020","4","mahe district","42107","62154100"
"puducherry","2021","1","karaikal district","161642","360807000"
"puducherry","2021","1","puducherry district","2920236","5086390000"
"puducherry","2021","1","yanam district","178609","375222000"
"puducherry","2021","1","mahe district","48945","76889300"
"puducherry","2021","2","karaikal district","169944","352528000"
"puducherry","2021","2","puducherry district","3316123","5610650000"
"puducherry","2021","2","yanam district","212893","448908000"
"puducherry","2021","2","mahe district","52427","86748200"
"puducherry","2021","3","karaikal district","241468","508475000"
"puducherry","2021","3","puducherry district","4514763","7530310000"
"puducherry","2021","3","yanam district","289263","571731000"
"puducherry","2021","3","mahe district","76232","119462000"
"puducherry","2021","4","karaikal district","300601","586376000"
"puducherry","2021","4","puducherry district","5606990","8973640000"
"puducherry","2021","4","yanam district","360182","704807000"
