"UnionTerritories","Year","Quarter","District","Transaction_Count","Transaction_Amount"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","dadra and nagar haveli district","92738","105807000"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","diu district","6279","10736600"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","daman district","67705","104407000"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","dadra and nagar haveli district","128642","186927000"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","diu district","7087","13784400"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","daman district","104637","160594000"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","dadra and nagar haveli district","177851","273261000"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","diu district","9502","19252200"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","daman district","147005","240064000"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","dadra and nagar haveli district","247575","399434000"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","diu district","16037","21939100"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","daman district","259564","315877000"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","dadra and nagar haveli district","386213","505553000"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","diu district","29130","55383400"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","daman district","183953","303608000"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","dadra and nagar haveli district","276573","465450000"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","diu district","17203","32940100"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","daman district","235860","348909000"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","dadra and nagar haveli district","385688","579622000"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","diu district","21474","46692400"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","daman district","282085","443589000"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","dadra and nagar haveli district","465412","736360000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","diu district","23966","46606100"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","daman district","318808","482279000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","dadra and nagar haveli district","535805","813878000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","diu district","23866","42875000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","daman district","342171","440493000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","dadra and nagar haveli district","607115","819008000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","diu district","26588","51864200"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","daman district","376291","584809000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","dadra and nagar haveli district","735433","1113120000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","diu district","41821","95658200"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","daman district","596994","921373000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","dadra and nagar haveli district","1178976","1683480000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","diu district","42608","96420400"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","daman district","664208","1043770000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","dadra and nagar haveli district","1218428","1825450000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","diu district","41014","101909000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","daman district","733176","1074080000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","dadra and nagar haveli district","1350893","1981680000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","3","diu district","66259","157454000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","3","daman district","1083689","1475260000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","3","dadra and nagar haveli district","1979522","2673220000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","4","diu district","88402","206127000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","4","daman district","1417153","1895790000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","4","dadra and nagar haveli district","2651530","3463920000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","1","diu district","94833","213403000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","1","daman district","1629797","2068810000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","1","dadra and nagar haveli district","3078173","3954840000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","2","diu district","130835","288822000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","2","daman district","1923407","2321670000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","2","dadra and nagar haveli district","3705529","4384670000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","3","diu district","148559","279739000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","3","daman district","2317701","2638820000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","3","dadra and nagar haveli district","3999361","4602090000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","4","diu district","154870","296320000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","4","daman district","2344860","2629290000"
"dadra-&-nagar-haveli-&-daman-&-diu","2022","4","dadra and nagar haveli district","4689855","5134030000"
"delhi","2018","1","south district","334361","597144000"
"delhi","2018","1","central district","2997714","4312150000"
"delhi","2018","1","new delhi district","883737","1478920000"
"delhi","2018","1","west district","545129","966855000"
"delhi","2018","1","south west district","318199","555900000"
"delhi","2018","1","south east delhi district","562694","929544000"
"delhi","2018","1","shahdara district","193886","326458000"
"delhi","2018","1","north east district","180160","261469000"
"delhi","2018","1","east district","357904","594248000"
"delhi","2018","1","north west district","387431","614243000"
"delhi","2018","1","north district","361539","574581000"
"delhi","2018","2","south district","513003","979271000"
"delhi","2018","2","central district","3589206","6223470000"
"delhi","2018","2","new delhi district","1177251","2387390000"
"delhi","2018","2","west district","785457","1588940000"
"delhi","2018","2","south west district","440508","903268000"
"delhi","2018","2","south east delhi district","767547","1466220000"
"delhi","2018","2","shahdara district","272663","533106000"
"delhi","2018","2","north east district","230049","421842000"
"delhi","2018","2","east district","504193","925784000"
"delhi","2018","2","north west district","575888","1041770000"
"delhi","2018","2","north district","517958","975252000"
"delhi","2018","3","south district","1009436","1501910000"
"delhi","2018","3","central district","8165361","10515900000"
"delhi","2018","3","new delhi district","2022950","3482000000"
"delhi","2018","3","west district","1402787","2408210000"
"delhi","2018","3","south west district","789269","1374840000"
"delhi","2018","3","south east delhi district","1321135","2190890000"
"delhi","2018","3","shahdara district","481819","805520000"
"delhi","2018","3","north east district","336347","629247000"
"delhi","2018","3","east district","990369","1384930000"
"delhi","2018","3","north west district","1071877","1611350000"
"delhi","2018","3","north district","955698","1471060000"
"delhi","2018","4","south district","1769675","2243830000"
"delhi","2018","4","central district","9373395","13878500000"
"delhi","2018","4","new delhi district","3230268","5091080000"
"delhi","2018","4","west district","2678986","3650600000"
"delhi","2018","4","south west district","1535302","2165330000"
"delhi","2018","4","south east delhi district","2675009","3473400000"
"delhi","2018","4","shahdara district","987533","1305320000"
"delhi","2018","4","north east district","777795","1097770000"
"delhi","2018","4","east district","2073615","2113750000"
"delhi","2018","4","north west district","2221592","2514150000"
"delhi","2018","4","north district","1864549","2189130000"
"delhi","2019","1","south district","2571440","2944580000"
"delhi","2019","1","central district","12885975","16258200000"
"delhi","2019","1","new delhi district","10000765","13939500000"
"delhi","2019","1","west district","3962949","5022150000"
"delhi","2019","1","south west district","2287011","2903460000"
"delhi","2019","1","south east delhi district","4177871","4783210000"
"delhi","2019","1","shahdara district","1402956","1800640000"
"delhi","2019","1","north east district","1085347","1482130000"
"delhi","2019","1","east district","3074036","2994260000"
"delhi","2019","1","north west district","3030848","3421610000"
"delhi","2019","1","north district","2528129","2919440000"
"delhi","2019","2","south district","2809313","3393510000"
"delhi","2019","2","central district","8821530","12827400000"
"delhi","2019","2","new delhi district","23313548","36146700000"
"delhi","2019","2","west district","4273168","5964570000"
"delhi","2019","2","south west district","2441752","3375120000"
"delhi","2019","2","south east delhi district","4093477","5354350000"
"delhi","2019","2","shahdara district","1439856","2125040000"
"delhi","2019","2","north east district","1142423","1754230000"
"delhi","2019","2","east district","3157212","3432950000"
"delhi","2019","2","north west district","3032525","3903080000"
"delhi","2019","2","north district","2646708","3429940000"
"delhi","2019","3","south district","4067756","4543360000"
"delhi","2019","3","central district","10383905","15911100000"
"delhi","2019","3","new delhi district","24687138","43288100000"
"delhi","2019","3","west district","5923192","8122170000"
"delhi","2019","3","south west district","3392924","4564340000"
"delhi","2019","3","south east delhi district","5633818","7118730000"
"delhi","2019","3","shahdara district","1929681","2840220000"
"delhi","2019","3","north east district","1625617","2351730000"
"delhi","2019","3","east district","4260289","4563960000"
"delhi","2019","3","north west district","4036365","5327030000"
"delhi","2019","3","north district","3597191","4566150000"
"delhi","2019","4","south district","4672501","5360120000"
"delhi","2019","4","central district","13130548","21110800000"
"delhi","2019","4","new delhi district","29048107","54398400000"
"delhi","2019","4","west district","6541869","9822840000"
"delhi","2019","4","south west district","3796919","5538270000"
"delhi","2019","4","south east delhi district","6387755","8697140000"
"delhi","2019","4","shahdara district","2149197","3597910000"
"delhi","2019","4","north east district","1871409","3047350000"
"delhi","2019","4","east district","4787770","5518540000"
"delhi","2019","4","north west district","4376687","6492920000"
"delhi","2019","4","north district","3982235","5440160000"
"delhi","2020","1","south district","4578729","5702230000"
"delhi","2020","1","central district","24757650","41219400000"
"delhi","2020","1","new delhi district","17899322","34941300000"
"delhi","2020","1","west district","6627571","10519700000"
"delhi","2020","1","south west district","3956004","6031190000"
