"State","Year","Quarter","District","Transaction_Count","Transaction_Amount"
"andhra-pradesh","2019","3","guntur district","6942304","13075700000"
"andhra-pradesh","2019","3","krishna district","8408474","16404100000"
"andhra-pradesh","2019","4","east godavari district","9285739","16816800000"
"andhra-pradesh","2019","4","srikakulam district","3712555","6832370000"
"andhra-pradesh","2019","4","spsr nellore district","5877804","11786000000"
"andhra-pradesh","2019","4","vizianagaram district","3998234","7175850000"
"andhra-pradesh","2019","4","visakhapatnam district","23594874","39133300000"
"andhra-pradesh","2019","4","prakasam district","4865473","10604100000"
"andhra-pradesh","2019","4","anantapur district","6764112","13887200000"
"andhra-pradesh","2019","4","ysr district","4793157","10865100000"
"andhra-pradesh","2019","4","west godavari district","4596479","9710610000"
"andhra-pradesh","2019","4","kurnool district","7001958","13233100000"
"andhra-pradesh","2019","4","chittoor district","11246986","19298500000"
"andhra-pradesh","2019","4","guntur district","9761330","18565600000"
"andhra-pradesh","2019","4","krishna district","11719402","23039800000"
"andhra-pradesh","2020","1","east godavari district","11346242","21854700000"
"andhra-pradesh","2020","1","srikakulam district","4835092","9777580000"
"andhra-pradesh","2020","1","spsr nellore district","7430247","15387800000"
"andhra-pradesh","2020","1","vizianagaram district","5042066","9879170000"
"andhra-pradesh","2020","1","visakhapatnam district","27115031","48809700000"
"andhra-pradesh","2020","1","prakasam district","6318396","14169100000"
"andhra-pradesh","2020","1","anantapur district","8466129","17864300000"
"andhra-pradesh","2020","1","ysr district","6031255","14059900000"
"andhra-pradesh","2020","1","west godavari district","5919670","12995800000"
"andhra-pradesh","2020","1","kurnool district","8246869","17022700000"
"andhra-pradesh","2020","1","chittoor district","13257740","23441800000"
"andhra-pradesh","2020","1","guntur district","11493331","22992700000"
"andhra-pradesh","2020","1","krishna district","12175289","24481700000"
"andhra-pradesh","2020","2","east godavari district","13130334","26319900000"
"andhra-pradesh","2020","2","srikakulam district","6425515","12153700000"
"andhra-pradesh","2020","2","spsr nellore district","9454274","20665400000"
"andhra-pradesh","2020","2","vizianagaram district","6690313","12819300000"
"andhra-pradesh","2020","2","visakhapatnam district","25300401","48293900000"
"andhra-pradesh","2020","2","prakasam district","8844580","19846000000"
"andhra-pradesh","2020","2","anantapur district","10473739","22094000000"
"andhra-pradesh","2020","2","ysr district","8033609","19597200000"
"andhra-pradesh","2020","2","west godavari district","7273096","16585900000"
"andhra-pradesh","2020","2","kurnool district","9821381","22419400000"
"andhra-pradesh","2020","2","chittoor district","14848197","27361300000"
"andhra-pradesh","2020","2","guntur district","12308707","27463600000"
"andhra-pradesh","2020","2","krishna district","12313709","26964100000"
"andhra-pradesh","2020","3","east godavari district","17972431","39300000000"
"andhra-pradesh","2020","3","srikakulam district","8286289","18029600000"
"andhra-pradesh","2020","3","spsr nellore district","16468209","39128300000"
"andhra-pradesh","2020","3","vizianagaram district","8236703","17567800000"
"andhra-pradesh","2020","3","visakhapatnam district","34421299","67628400000"
"andhra-pradesh","2020","3","prakasam district","12266310","31221700000"
"andhra-pradesh","2020","3","anantapur district","14447683","34102000000"
"andhra-pradesh","2020","3","ysr district","11934653","32037000000"
"andhra-pradesh","2020","3","west godavari district","10412351","25408600000"
"andhra-pradesh","2020","3","kurnool district","13243292","32529400000"
"andhra-pradesh","2020","3","chittoor district","20501863","42811600000"
"andhra-pradesh","2020","3","guntur district","17601395","42531200000"
"andhra-pradesh","2020","3","krishna district","19110457","44788500000"
"andhra-pradesh","2020","4","east godavari district","25989490","58732600000"
"andhra-pradesh","2020","4","srikakulam district","11092184","25222500000"
"andhra-pradesh","2020","4","spsr nellore district","20934374","49115400000"
"andhra-pradesh","2020","4","vizianagaram district","10580824","24094800000"
"andhra-pradesh","2020","4","visakhapatnam district","46551467","91879800000"
"andhra-pradesh","2020","4","prakasam district","16176867","41852400000"
"andhra-pradesh","2020","4","anantapur district","20996384","49732600000"
"andhra-pradesh","2020","4","ysr district","15676878","42573000000"
"andhra-pradesh","2020","4","west godavari district","15674762","40311000000"
"andhra-pradesh","2020","4","kurnool district","18737323","44718200000"
"andhra-pradesh","2020","4","chittoor district","29590411","61505700000"
"andhra-pradesh","2020","4","guntur district","26136538","60641900000"
"andhra-pradesh","2020","4","krishna district","27981050","64461500000"
"andhra-pradesh","2021","1","east godavari district","26190701","60028000000"
"andhra-pradesh","2021","1","srikakulam district","11160473","26486600000"
