"UnionTerritories","Year","Quarter","Transaction_type","Transaction_count","Transaction_amount"
"andaman-&-nicobar-islands","2021","4","Others","2855","2453640"
"andaman-&-nicobar-islands","2022","1","Peer-to-peer payments","342649","1682330000"
"andaman-&-nicobar-islands","2022","1","Merchant payments","284298","370092000"
"andaman-&-nicobar-islands","2022","1","Recharge & bill payments","163401","71300100"
"andaman-&-nicobar-islands","2022","1","Financial Services","1757","2869680"
"andaman-&-nicobar-islands","2022","1","Others","2643","2440320"
"andaman-&-nicobar-islands","2022","2","Merchant payments","449540","510839000"
"andaman-&-nicobar-islands","2022","2","Peer-to-peer payments","437606","2088310000"
"andaman-&-nicobar-islands","2022","2","Recharge & bill payments","179515","82232900"
"andaman-&-nicobar-islands","2022","2","Financial Services","1448","2089860"
"andaman-&-nicobar-islands","2022","2","Others","3108","2449500"
"andaman-&-nicobar-islands","2022","3","Merchant payments","716105","693438000"
"andaman-&-nicobar-islands","2022","3","Peer-to-peer payments","622217","2514540000"
"andaman-&-nicobar-islands","2022","3","Recharge & bill payments","240766","97748100"
"andaman-&-nicobar-islands","2022","3","Financial Services","1814","2166300"
"andaman-&-nicobar-islands","2022","3","Others","3477","2744060"
"andaman-&-nicobar-islands","2022","4","Merchant payments","956536","906365000"
"andaman-&-nicobar-islands","2022","4","Peer-to-peer payments","768758","2961630000"
"andaman-&-nicobar-islands","2022","4","Recharge & bill payments","256050","110037000"
"andaman-&-nicobar-islands","2022","4","Financial Services","2499","3533990"
"andaman-&-nicobar-islands","2022","4","Others","3692","3107410"
"chandigarh","2018","1","Recharge & bill payments","201262","47479600"
"chandigarh","2018","1","Peer-to-peer payments","135136","527999000"
"chandigarh","2018","1","Merchant payments","21431","19477100"
"chandigarh","2018","1","Financial Services","8473","1865620"
"chandigarh","2018","1","Others","15593","16614300"
"chandigarh","2018","2","Recharge & bill payments","224548","76722900"
"chandigarh","2018","2","Peer-to-peer payments","194627","835296000"
"chandigarh","2018","2","Merchant payments","34606","29408500"
"chandigarh","2018","2","Financial Services","11927","3679450"
"chandigarh","2018","2","Others","13376","16116300"
"chandigarh","2018","3","Peer-to-peer payments","295358","1217620000"
"chandigarh","2018","3","Recharge & bill payments","236445","100640000"
"chandigarh","2018","3","Merchant payments","64998","37560600"
"chandigarh","2018","3","Financial Services","7642","1302310"
"chandigarh","2018","3","Others","12493","12234200"
"chandigarh","2018","4","Peer-to-peer payments","431461","1793870000"
"chandigarh","2018","4","Recharge & bill payments","310527","128130000"
"chandigarh","2018","4","Merchant payments","135266","94010700"
"chandigarh","2018","4","Financial Services","10008","2039810"
"chandigarh","2018","4","Others","17854","14538900"
"chandigarh","2019","1","Peer-to-peer payments","689400","2123870000"
"chandigarh","2019","1","Recharge & bill payments","390610","161415000"
"chandigarh","2019","1","Merchant payments","169984","97230500"
"chandigarh","2019","1","Financial Services","7412","917031"
"chandigarh","2019","1","Others","17070","12603000"
"chandigarh","2019","2","Peer-to-peer payments","604849","2339920000"
"chandigarh","2019","2","Recharge & bill payments","342294","185659000"
"chandigarh","2019","2","Merchant payments","277811","152767000"
"chandigarh","2019","2","Financial Services","5590","839765"
"chandigarh","2019","2","Others","21926","13928000"
"chandigarh","2019","3","Peer-to-peer payments","722233","2815180000"
"chandigarh","2019","3","Merchant payments","447069","226536000"
"chandigarh","2019","3","Recharge & bill payments","308219","213885000"
"chandigarh","2019","3","Financial Services","2447","794919"
"chandigarh","2019","3","Others","26575","13282200"
"chandigarh","2019","4","Peer-to-peer payments","927850","3586760000"
"chandigarh","2019","4","Merchant payments","561630","318693000"
"chandigarh","2019","4","Recharge & bill payments","338203","237696000"
"chandigarh","2019","4","Financial Services","1911","654299"
"chandigarh","2019","4","Others","21321","8707470"
"chandigarh","2020","1","Peer-to-peer payments","1087401","4421370000"
"chandigarh","2020","1","Merchant payments","764832","438194000"
"chandigarh","2020","1","Recharge & bill payments","389851","257250000"
"chandigarh","2020","1","Financial Services","1574","1406140"
"chandigarh","2020","1","Others","18853","8230540"
"chandigarh","2020","2","Peer-to-peer payments","766698","3293060000"
"chandigarh","2020","2","Merchant payments","390906","331423000"
"chandigarh","2020","2","Recharge & bill payments","361577","214425000"
"chandigarh","2020","2","Financial Services","1797","3982000"
"chandigarh","2020","2","Others","7032","4125120"
"chandigarh","2020","3","Peer-to-peer payments","981986","4178350000"
"chandigarh","2020","3","Merchant payments","796634","604271000"
"chandigarh","2020","3","Recharge & bill payments","366353","296965000"
"chandigarh","2020","3","Financial Services","2643","5254420"
"chandigarh","2020","3","Others","10470","4972500"
"chandigarh","2020","4","Merchant payments","1322026","939308000"
"chandigarh","2020","4","Peer-to-peer payments","1159377","4872320000"
"chandigarh","2020","4","Recharge & bill payments","409997","320731000"
"chandigarh","2020","4","Financial Services","3346","4400110"
"chandigarh","2020","4","Others","17970","10005100"
"chandigarh","2021","1","Merchant payments","1799072","1210590000"
"chandigarh","2021","1","Peer-to-peer payments","1472084","5916470000"
"chandigarh","2021","1","Recharge & bill payments","678396","451110000"
"chandigarh","2021","1","Financial Services","5111","7700400"
"chandigarh","2021","1","Others","15574","10549300"
"chandigarh","2021","2","Merchant payments","1926913","1390990000"
"chandigarh","2021","2","Peer-to-peer payments","1663559","6541130000"
"chandigarh","2021","2","Recharge & bill payments","806710","467699000"
"chandigarh","2021","2","Financial Services","5502","7394940"
"chandigarh","2021","2","Others","14863","10458400"
"chandigarh","2021","3","Merchant payments","3179506","2245390000"
"chandigarh","2021","3","Peer-to-peer payments","2434417","8927870000"
"chandigarh","2021","3","Recharge & bill payments","1008585","620438000"
"chandigarh","2021","3","Financial Services","5700","7960840"
"chandigarh","2021","3","Others","21170","14225700"
"chandigarh","2021","4","Merchant payments","4056249","3041040000"
"chandigarh","2021","4","Peer-to-peer payments","2797561","10610500000"
"chandigarh","2021","4","Recharge & bill payments","1013153","693791000"
"chandigarh","2021","4","Financial Services","7038","10459400"
"chandigarh","2021","4","Others","24902","17832900"
"chandigarh","2022","1","Merchant payments","4511757","3264570000"
"chandigarh","2022","1","Peer-to-peer payments","3012464","11150700000"
"chandigarh","2022","1","Recharge & bill payments","1046187","731348000"
"chandigarh","2022","1","Financial Services","7228","13538600"
"chandigarh","2022","1","Others","22855","14829100"
"chandigarh","2022","2","Merchant payments","6136803","3919370000"
"chandigarh","2022","2","Peer-to-peer payments","3489382","12549200000"
"chandigarh","2022","2","Recharge & bill payments","1119367","792957000"
"chandigarh","2022","2","Financial Services","6673","8943860"
"chandigarh","2022","2","Others","20264","12978700"
"chandigarh","2022","3","Merchant payments","7665907","4713970000"
"chandigarh","2022","3","Peer-to-peer payments","4423590","14788200000"
"chandigarh","2022","3","Recharge & bill payments","1360342","1033530000"
"chandigarh","2022","3","Financial Services","8868","9918740"
"chandigarh","2022","3","Others","19466","14156700"
"chandigarh","2022","4","Merchant payments","10170372","6570340000"
"chandigarh","2022","4","Peer-to-peer payments","5951989","20013600000"
"chandigarh","2022","4","Recharge & bill payments","1749647","1267650000"
"chandigarh","2022","4","Financial Services","10778","12000800"
"chandigarh","2022","4","Others","22054","16142000"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","Recharge & bill payments","95544","17526400"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","Peer-to-peer payments","44599","151967000"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","Merchant payments","1531","1580760"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","Financial Services","1364","353172"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","Others","5511","4231150"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","Recharge & bill payments","122834","30595600"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","Peer-to-peer payments","69215","261996000"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","Merchant payments","3544","4685540"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","Financial Services","2996","383806"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","Others","4037","4410220"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","Recharge & bill payments","157113","39790800"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","Peer-to-peer payments","119346","396698000"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","Merchant payments","7465","5693600"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","Financial Services","1477","297648"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","Others","4174","5159440"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","Peer-to-peer payments","194214","582082000"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","Recharge & bill payments","185793","49972000"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","Merchant payments","15739","19577300"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","Financial Services","2996","371675"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","Others","5340","6747430"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","Peer-to-peer payments","408465","757658000"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","Recharge & bill payments","225998","62660800"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","Merchant payments","20694","17043900"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","Financial Services","1645","221065"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","Others","5012","5786440"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","Peer-to-peer payments","244134","734034000"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","Recharge & bill payments","198184","63874400"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","Merchant payments","40781","20816100"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","Financial Services","748","155150"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","Others","5809","5561400"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","Recharge & bill payments","319142","104597000"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","Peer-to-peer payments","249944","821179000"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","Merchant payments","63616","30634700"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","Financial Services","533","425044"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","Others","5516","4636170"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","Recharge & bill payments","351819","125810000"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","Peer-to-peer payments","324464","1051980000"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","Merchant payments","86758","45361600"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","Financial Services","1019","267762"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","Others","4911","3225960"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","Recharge & bill payments","407577","153341000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","Peer-to-peer payments","329005","1119440000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","Merchant payments","137040","66713400"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","Financial Services","668","418783"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","Others","4289","2851040"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","Recharge & bill payments","525974","178878000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","Peer-to-peer payments","323909","1052120000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","Merchant payments","118801","68938500"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","Financial Services","1826","993268"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","Others","2642","1448250"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","Recharge & bill payments","455603","201223000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","Peer-to-peer payments","419524","1401020000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","Merchant payments","257572","143498000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","Financial Services","1635","1778860"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","Others","3978","2268100"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","Peer-to-peer payments","666995","2153790000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","Merchant payments","631443","316510000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","Recharge & bill payments","509971","224247000"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","Financial Services","2453","1683960"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","Others","6929","4283830"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","Peer-to-peer payments","768921","2379220000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","Merchant payments","705821","367522000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","Recharge & bill payments","442926","213177000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","Financial Services","2243","1930010"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","Others","5333","3782870"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","Peer-to-peer payments","843550","2512910000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","Merchant payments","802899","430487000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","Recharge & bill payments","471136","208763000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","Financial Services","1826","1763790"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","Others","5672","3741200"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","3","Merchant payments","1312241","706774000"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","3","Peer-to-peer payments","1262732","3339350000"
